name,status,street,postcode,city,address,folder,logo_file,menu_count,archive_count,latest_menu,note,source_page
Greenhouse Effect (original),closed,Warmoesstraat 53-55,1012 HW,Amsterdam,"Warmoesstraat 53-55, 1012 HW Amsterdam",Greenhouse Effect,Greenhouse Effect/logo.png,1,4,6 February 2013,Historic coffeeshop. See also Greenhouse Effect on Nieuwmarkt.,https://www.coffeeshopmenus.org/cs-greenhouse-effect-0.html
Greenhouse Namaste,open,Waterlooplein 345,1011 PG,Amsterdam,"Waterlooplein 345, Amsterdam 1011 PG",Greenhouse Centrum,Greenhouse Centrum/logo.png,1,4,12 November 2024,,https://www.coffeeshopmenus.org/cs-greenhouse-namaste.html
Greenhouse Strain Hunters,open,Singel 387,1012 WN,Amsterdam,"Singel 387, 1012 WN Amsterdam",StrainHunters,StrainHunters/logo.png,1,13,5 February 2025,"Previously 420 Coffeeshop. See also Cookies, Greenhouse Centrum and Greenhouse Namaste",https://www.coffeeshopmenus.org/cs-greenhouse-strain-hunters.html
Grey Area,open,Oude Leliestraat 2,1015 AW,Amsterdam,"Oude Leliestraat 2, 1015 AW Amsterdam",Grey Area,Grey Area/logo.png,1,47,9 April 2026,,https://www.coffeeshopmenus.org/cs-grey-area.html
Happiness,open,Orteliusstraat 193,1056 NP,Amsterdam,"Orteliusstraat 193, 1056 NP Amsterdam",Happiness,Happiness/logo.png,1,,15 June 2010,Later Hunter's West,https://www.coffeeshopmenus.org/cs-happiness.html
Happy Days,open,Amsteldijk 139,1079 LE,Amsterdam,"Amsteldijk 139, Amsterdam 1079 LE",HappyDaysAms,HappyDaysAms/logo.png,1,2,3 June 2026,,https://www.coffeeshopmenus.org/cs-happy-days-ams.html
Happy Feelings,open,Kerkstraat 51,1017 GC,Amsterdam,"Kerkstraat 51, 1017 GC Amsterdam",HappyFeelings,HappyFeelings/logo.png,1,15,3 July 2026,Previously Global Chillage,https://www.coffeeshopmenus.org/cs-happy-feelings.html
Happy People,open,Dapperstraat 2,1093 BT,Amsterdam,"Dapperstraat 2, 1093 BT Amsterdam",Happy People,Happy People/logo.png,1,5,25 April 2025,,https://www.coffeeshopmenus.org/cs-happy-people.html
Hashtag,open,Reguliersgracht 27,1017 LK,Amsterdam,"Reguliersgracht 27, Amsterdam 1017 LK",Hashtag,Hashtag/logo.png,1,34,12 July 2026,Previously Barney's Lounge,https://www.coffeeshopmenus.org/cs-hashtag.html
Het Ballonnetje,open,Roetersstraat 12,1018 WD,Amsterdam,"Roetersstraat 12, 1018 WD Amsterdam",het Ballonnetje,het Ballonnetje/logo.png,1,60,18 July 2026,,https://www.coffeeshopmenus.org/cs-ballonnetje.html
